,commentor,comment
410,indietuts,Voice base is too much !
411,ALBERT ALI,"YOU ARE AMAZING BRO ,ISO ENTHUISISUM TO TO LEARN BAKHEND DEVOPS .READ TPO STUDY"
412,Manish Gupta,I had already bought it before and now it hurts seeing being offered for free
413,aniket raikar,Thank you sir
414,bhavesh more,Great 
415,Md Saiful Islam Shanto,Thank you sir
416,YouAndImpact,Great 
417,Mc Spraint,For this person I turned myself from a drug addict in to a full fledged software developer working at a company where I enjoy working really a lot
418,ARPIT MISHRA,Hi hitesh... I got a job and took a break from learning from you. But right now i feel its time to get back to your courses. Always greatful for your guidance sir.
419,Ramadevi Atmuri,"Hey Hitesh sir, You have said in this video, that we have to code for the community page, but in that challenge you have or company has mentioned at the last 3 points that, we have to create the ""ADMIN SETTINGS PANEL"" WHERE THE ADMIN CAN CHANGE THE CONTENT OF THE PAGE BY HAVING UPLOADING THE RESPECTED VALUES OF EACH ELEMENTS OF RESPECTIVE COMPONENTS... "" 
isn't it the challenge? Or we just need to clone the community page? Please explain briefly sir... Please refer the last three points of the overview."
420,heatengine,"Hi, hitesh, very nice thing you are doing and thans for that. I am a 23 yo programmer having 2+ years of experience, super ambitious and eager for career. But things turns out wrong here =====>> I dieagnized with a rare eye problem and now I can't work as a frontend developer or UI UX developer (which I wanted to be in) as can not see properly in white mode theme. Please let me know if anyone or you has any person with same challenges and how to cope with this.

Thank you"
421,Saloni Singh,"Hello Sir, I always wanted to work in Tata. Tata imagination Challenge is going to start soon. Please suggest me some tips so that I can qualify for the same and fulfil my dream."
422,sapan jain,You are amazing sir
423,Akash Singh,Humble request to just increase the timeline of bill split app hackathon for at least 8 - 12 days. Thanks.
424,ASHIRVAD,Amazing sir
425,Santu Das,It's great things ️
426,abhinav kumar,"Is this only for working professions? because I went to the website and various experience, current job and salary structure is asked.. I am just a student :')"
427,Telugu Dev Hari,Next hackathon keep at hyderabad 
428,pankaj thakur,When will the next batch for Full stack JS Batch will be launched?
429,Venkatesh Lingampally,When we get Android hackathon online..
430,Aman saxena,
431,Kirtan Chandak,"Website is disabled, please check once."
432,•N!Kh!L D•🔱,"Bro i am done with earth, it's too much crowded.. i want to go to Mars"
433,Gokul Deva,once again that grey shirt !
434,Nattu Kaka,Mai  lega esme  bhag bhai maja a jaayega
435,Jasjot Singh,1st viewer
436,Mc Spraint,Second
437,Ruhan Khandakar,first
438,Sandeep Kumar,2nd
439,Zeeshan Safdar,"Hitesh, your live sessions are way better than recorded videos. :) Thanks for producing quality content, TechEd Guru"
440,Naveen Singh,I have enjoyed the great quality content today. Thanks
441,Maheen Kabeer,"Complete JavaScript playlist. Please be consistent. First complete one thing, then jumb over to other."
442,Patel Ronak,Waiting for JavaScript Marathon
443,YouAndImpact,Great 
444,SHUBHAM JADHAV,Is php use for frontend development
445,Patel Ronak,
446,Bishambar Sharma,Sir please help me in python and c# file convert in to APK file
447,Nayan Patil,"Hello sir, thank you for this great series!
A suggestion - 
we need to run ""npx prisma db push""  to synchronize a schema with a database, Otherwise, constraints like @unique, etc will not get applied to MongoDB. I was extending the signup endpoint then I got to know MongoDB allowing to insert a new user with the same email.
Thank you."
448,varshil shah,"Hi hitesh sir, learning new technology from you is always fun.
I figured out a bug/mistake in your jwt.verify function, it actually expects callback or we can use promisify instead."
449,Anuj,"Hi sir, can you make a small project with prisma graphql server?"
450,Aneerudh,"Hello sir, what was that cli tool which was helping you and giving the auto suggestion on commands while typing in terminal...... Is that available in linux too?"
451,YouAndImpact,Great video 
452,aniket bhalla,Is it safe to send JWT token in response to frontend?
453,Aman soni,You didn't used Bcrypt to encrypt password
454,MohanRaj Raman,How to manage models in separate prisma files?
455,Patel Ronak,
456,Adarsh,Can someone tell me the font name?
457,Shyamendra Hazra,"Hitesh sir be like : ""oh no some spare time!! Just contribute to the community.....""
What a divine blessing upon earth, sir your dedication is also a great example for us. Thank you very much sir for such a generous effort. You taught us how not to hesitate to take from the community and not to forget to contribute back to the community again. Huge respect towards you sir ️"
458,GG TySON,You are doing amazing sir I just missed your live  But I am watching now the full video and is so much useful to me please ignore the toxic people You are the real open source hero as you are teaching cutting edge technology for free love you so much for all the stuff you go on there may be many negative comments but still you didnt stop teaching  and go on with the good vibes
459,aniket bhalla,Thanks sir for the session. Just finished watching it. I hope to have more in the future. Thanks again for your efforts you're putting in.
460,jayesh shinde,"hello sir , in my college we have group presentation . there are 10 students in each group. my group has got topic as "" devOps for spring microservices"". so sir can  you  pls suggest 10 sub topics for this topic on which each student from my group can present that topic upto 3 minutes ?
pls help sir"
461,Gautam Patnaik,Thank you for this session. Learnt a lot about backend and prisma. Please connect it to frontend. 
462,Sandeep,"Back to back live , now we can feel the energy "
463,Souvik Roy Vines,This is great sirthank you for sharing
464,Jimmy,"Informative video , make more such videos."
465,chirag roy,sir when i see you anywhere over the internet you always be mine first choice forever
466,cathrine chelladurai,Sir can you post  a video explaining gRPC
467,my home,Sir I have a break after my graduation so please suggest me can I understand this
468,Aneerudh,"Hello sir, what was that cli tool which was helping you and giving the auto suggestion on commands while typing in terminal...... Is that available in linux too?"
469,YouAndImpact,Amazing 
470,Nikhil,
471,Patel Ronak,
472,Digiheadway business,sir aap ke java scrip ki vidoe kab aaye gi or
473,Md Ehsan,You are the only one who pushed me and motivated me as well to do a lot in coding..... it's not a complete change from the day I had started learning with you  but a drastic change I have experienced in my self now I am able to think and do the project seamlessly whereas in the beginning I was completely freezed when you told we have to do that much project. .... please keep you love and support with us..... thank you so much sir ji....we really need mentor like you.   
474,Jaya kumar,"Hmm.. hitesh energy level are low. He looks really tried, but still taking class for us. Dedication god level"
475,Ankush Ladani,Thank you sir for this session...
476,yash rajan shukla,That wall  perfectly color balanced and adding so much in the scene
477,Manoj Kumar,Please continue more videos on talwind
478,Bijaya Giri,hello sir...take care...and thank you for this video ...from Nepal.
479,Abhay Tiwari,thank you so much sir
480,Amit Kumar,"I was waiting for this content/course after my first class in tailwind. once again thanku sir,"
481,manish keer,"Why can't we just write css, instead of writing classes for each style.. I feel that's a more clean way of writing html and css. This looks unnecessary.
Thanks for your video efforts though."
482,Anirudh,
483,Deepak Sebak,What happened to javascript course
484,Murugappan Ramanathan,I am sorry Hitesh one of your course in udemy is below par. I don't believe this would be any better either.
485,Parkes Teasha,Kirk
486,For Valor!,Sir your too much girly while talking. D
487,yash rajan shukla,Once a LCO fan always a LCO fan because you never disappoint to suprise us whether it is your video quality or content of the video
488,Anirudh,"Years of dedication, coding & passion towards one single goal "
489,Lüçîfēr,Can't beleive sir...  Thank you soooo much. This step would really count as remarkable for nation building. ️
490,66 Taslim Muhammed Moosa,you are a really good teacher️
491,Venkatesh SV,"U r best in education Marketing also 
Ur business model for Ed tech so good "
492,Aasim,"I love you sir... I love you so much.
I teach frontend development online. I was using teachable but recently teachable discontinued new video upload for free plan users now I'm stuck I can't add new videos.
Now I will switch to Learnyst.
Thank you so much sir"
493,Amita Singh,Thank you Hitesh we are so glad to have you ..
494,Nikhil,"Hi Hitesh sir, I have one request can u please make one VDO on Data Warehouse"
495,Vikash ravichandran,Good move as i teach latest tech at very low cost from scratch in my city
496,Tech buddy,Arey hitesh Bhai aap tho teacher se actor ban gaye 
497,YouAndImpact,Great 
498,dhiraj jaiswal,Great
499,KARTHICKRAJA,"Great Ad
All in All ️"
500,JOBIN SELVANOSE,️
501,Devendra Patel,One day you will become education minister. I hope
502,Aniruddh Singh,What about javascript course sir
503,Parul Gupta,Sir where is your javascript course
504,Gopal Kannan,Thanks 
505,Polite,️️️️
506,Bishal Nandi,️️️️️
507,Ha-na,still students have to pay that's how u earn money but good for teachers though
508,Yashraj Mishra,Thanks
509,Saurabh Shakya,Every Ed-tech claims they are going to change the ed-tech industry yet they are all the same
510,Surya Padala,Boss...what are you doing...are you not sleeping ... 
511,Nikhil,Wohh!!!
512,jhon sen,"Everything is a Business Now a Days, No one leave or Resign their job just for the sake of educating students for a longer run its kind of business. THere are very few people like code school who really uploaded some beautiful content but still their account not monitized yet."
513,Iliyas Khan,You shoul not have put add with this video
514,Fayaz Mohammad,"I'm sorry but maybe it's just me, the voice didn't quite make it. Sounded like dental add on a small tv channel. NO OFFENSE"
515,shaquib khan,"What a down-to-earth person he is.
It was a pleasure to devote my 32 minutes to hearing these two gentlemen."
516,Ranger boi,As a person who loves to make experimental projects everyday on a regular FastAPI really speeds up the development process :)
517,Atharva Kulkarni,I missed this man. I'm a big fan of this guy. Great contribution. His tech and your tutorial made it possible for me to backend developement.
518,Rudrakshya Barman,"Glad to see him, he is really humble awesome."
519,StockV,"wow, his mustache looks like rajput's mustache. bcz i'm also a Rajput. But yeah both of you are amazing. A infinite amount +ve energy.
And a lot motivation. greet and thank you hitesh bhaiya. You are my best montor at youtube platform for web development."
520,Shantonu Chowdhury,I love this man.. thank you Hitesh sir give an opportunity to get a brife  conversation with Sebastián Ramírez Montaño... thank you
521,dhanush holla,Great content ️
522,Achana Naga Durga Prasad,Sir when are the JavaScript clases going to resume on YouTube 
523,Jayesh Pathak,Great i am just start using fastapi and meet the inventor !!!   I have one query if you can help. I want to use graphql with fast api ( graphene ) with mysql and the same mysql django project is setup.   is it possible ? e.g. I create one django project dockerized it and then add fast api with graphql with common mysql connection
524,Sunil Poonia,Always Great️️
525,vamshi goud,I am currently completed my ug degree (bsc in computer science).so am interest in artificial intelligence. How to do msc in artificial intelligence in iit's Or other university. What are the entrance exams. Can you plz tell the process. It's more important to me...
526,KUMAR SARVESH,love this!
527,Vlogger Abhi,Sir i also want to learn coding frm you help me.
528,dhanush holla,Got insights about fastapi.... Will try to solve 1 problem at a time here after 
529,Moneesh Kumar,Great to see Hitesh and Sebastián
530,Nabajyoti Borah,"Hi guys , it's Nabajyoti here , whose LinkedIn question is asked  feeling proud "
531,Namaste coders,Great 
532,Swapnil Bose,Ahhaaaaaaaa!! Bangali YouTuber mone hochhe?? Jodi hai tahole Dada Khub valo laglo eto boro Bangali Tech YouTuber ke peye. Ar Dada Tumi kothai thako?
533,Anirudh,
534,Sadaf Shaheen,nice
535,UI Monk,"Sabastin, fan of your moustache.. cheers"
536,BORN CODER,"Sir please take this. sir what are your tips for me, I am starting college next month. what should I do to excel in the field? I have huge interest in CS..."
537,Mehedi hasan,Dear Mr.  Hitesh it will be very nice if you explain in detail about api... it's setup... etc
538,Luv Official,"Hi hitesh, when the devops will be launched?"
539,Manish Daga,26:24 Hear i am.(just for my refrence)
540,Nikhil,"I missed it ""random live !""random live !"""
541,UI Monk,Ur legend
542,Devendroid,09:07 what
543,mark cuello,HELP
544,Suman Kundu,I also missed
545,24_Charukirti Chougule,Writing code every day to build more stuff. Thanks to your videos 
546,Code Endeavor,To the next level - Hitesh sir - the voice of encouragement
547,Rishi Raj,"Exzellent work!
Very impressive and inspiring video"
548,Qwerty Ali,"Yes, #iwritecode all thanks to you sir. :)"
549,Saksham the computer guy,"Baday bhaiya always OP! 
#iwritecode"
550,Umang Pincha,"Yes hitesh sir , working on hackathon project , write more core -> build more stuff"
551,Amit Kumar,#iwritecode on top high label..I can imagine a big change is going on
552,Raushan Kumar,Unique as always
553,Srini cnu,"Hello sir I am in 8th grade my name is akash is there any chance to update FSJS bootcamp video.

Sir after the bootcamp can you suggest what I could probably do"
554,Chita mAR'S,Absolutely Good. ।
555,Shubham Shubham,Completed the Hackathon Project Code. Working on the explanation for the video. I write code.
556,Himanshu Kumar,Video & Audio quality is 
557,Ankur Saini,Please make a Video on Hexagonal Architecture
558,Prathap Reddy,I write Code 
559,Abhimanyu Malik,I write code 
560,Nikhil,I write code 
561,mayank kashyap,yes i#iwritecode all thank to hitesh sir
562,Kumar Amresh,"some awesome projects built by me :-
  Figma clone :- https://www.youtube.com/watch?v=rqtKGGTlQC4
  Ludo :- https://www.youtube.com/watch?v=NANSV7pPtRY
I have also built many other great projects, but I am proud of these two and I like to flaunt them everywhere "
563,secureITmania,As IT security researcher I debug code 
564,Anirudh,#iwritecode
565,yoan bello,Is over the Javascript marathon?
566,Bishal Nandi,️️️️️️️
567,Mr. Invisible,
568,Sandeep Kumar,First view  gurudev
569,"Sumit Kanth , 53",Sir coders ki job AI nii legi n ?
570,Junior Malcom,#iwritecode
571,Harshavardhan Teja,Let's write code
572,Patel Ronak,
573,Aakash Pal,Cool Voice 
574,Gaurav,
575,R kay Motivational,Jai Hind Jai Bharat 🇮🇳
576,Mayank Raj,I WIRITE CODE
577,Yashraj Jaiswal,Ye theranos beech me q hai 0:11 
578,Rise honeix,Sir wants to make movie
579,khumendra sinha,Yes
580,Shubham Gargade,First view
581,Sahil Jain,"Seriously Elizabeth Holmes with personalities like steve jobs, bill gate???"
582,Subhadip Chatterjee Vlogs,1st viewer
583,Peter Parker,I am the first who watched it.. Oo
584,clipss,Why is Elizabeth holmes in the montage she is a scamster
585,SIDDHARTH SINGH,Ad
586,tejas Jani,"this is my personal opinion , don't take it personally. I don't like this way of editing. Its sound negative, looks like a commercial ad."
587,Kshirod Patel,I write code because ... Code is Poetry ( ⓒ copyright WordPress ) :)
588,Gourav Singh Rawat,"An amazing idea could be, where multiple teams of hiring trainers/experts do vouch for the developers by their projects and other contributions. This will also support HRs, technical recruiters and developers of course."
589,Waqui,"Excited  to get placed in a tech company using the platform findcoder
Projects are on the way....
Pumped up!‍
Thanks, Sir-ji!"
590,SUBODH SINGH,"Another mind-blowing project by You. I understand this will certainly help front-end and back-end developers... Is there any plan for automation related like hackathon, challenge and opportunity to showcase project like framework? Thanks again for creating this!"
591,Anirudh,Talent  Technology= FindCoder 
592,Shivanand,"Wow amazing  
""Where there is a vision there is a way"""
593,shaquib khan,"Here comes the solution of tech hiring.
Man on a mission - > Hitesh Sir!"
594,SUBHANSHU SAHANI,Legend for a reason ️
595,Mt,Definitely findcoder is valuable platform I love it
596,Chandni Yadav,"Hi, 
Your application seems useful but I am experiencing a bug, I can't open any social site link of developers"
597,Anurag Katiyar,Great work sir
598,YouAndImpact,Great initiative 
599,Rishabh Thakur,Platform is amazing ️
600,Abbay Rai,"Can't wait to participate , from FSBD course"
601,Adrian Görisch,"Dose only work for public projects  If you work in a fiel with only private/internal projects, you cant use them, but you could be the perfect fit"
602,MUTHU VALLI 3,Awsome idea & good UI HITESH SIR...
603,naruto uzumaki,"Bringing in Democracy, 5:12  Nice! Now the  Democracy Index will improve, Hopefully!
 Incredible platform, by the way!"
604,Arnab Chatterjee,Plz continue js marathon 
605,Md Faiyazul Hussain,Great initiative would build next project
606,vibhu Mishra,Sir please upload new videos in js marathon...
607,Ratul Paul,Very nice Idea. What kind of developers mostly it will projecting the projects... is it just web developers or even cloud/devops guys
608,Pradeep,"Great News, thank you"
609,Tushar Singh,"Everything is what I could have asked for but the idea of public voting could be misused by anyone. Spam, friends, link sharing and asking for vote will become a huge problem soon. Please remove public voting feature and instead only let group of experts to vote on the projects. The expert could be invitational only such that findcoder should invite experts for the domain to vote and show their consensus much like how awwwards chooses the best designed website.
 
Public voting could be replaced with likes and also let the user to sort the list based on likes while only expert votes should decide the best projects."
610,NABIN MAITI,Thank you Sir
611,CODING,Bro there is problem while setting up profile. It is not taking me to 2nd step after taking my details.
612,Surya Padala,Make it like Darwinbox. All the Best.
613,dhanush holla,
614,Gourav Kolhatkar,Hi hitesh make sure the companies and jobs they provide are of quality than the quantity.
615,Md Ehsan,
616,Ͳհąҟմɾ φɾąѵҽҽղ ʂօӀąղҟì,Great..
617,Bishal Nandi,️️️️️️
618,Uttej,Fire 
619,Piyush Mani chaubey,Amazing
620,Mr. Invisible,️
621,Bibek Kakati,
622,Rishabh rathour,Thanxx hitesh
623,Akash Singh,why still only github and linkedIn signin options why not email & pwd?
624,RAM informatique,Good
625,Sankha Subhra Mondal,1st view sir
626,Siva ram,First ️
627,Srajan Jain,First Like and comment
628,Manoj Dewangan,#FirstComment
629,Code light Sparkles,Would love to see a course with functional programming using Scala
630,suman pokhrel,Checked it 1 week ago and yes its just damn fast 
631,Akshay,Great content 
632,Abhishek Guha,"Hey Hitesh! Kudos to all your contributions to tech education. I know how much you revere quality, so just a suggestion from this noob. Change the transition to the layer in the beginning where-in your name appears to be smooth rather than sudden. Keep up the excellent work. "
633,YouAndImpact,Great video 
634,Tami Bar,Does anyone know if bun can be used to load webpages and run them ? Potentially creating a faster browser than chrome or other browsers ? Thx 
635,Rahul Ahire,I'd love to see (or even purchase) a Rust course from you.
636,Bindiya Patel,"Hello sir, sir agar koi student engineering background  se nahi hain to kya wo apka course enroll krke koi skill sikh sakta hain? Sir please guide us"
637,Scripty Vijay,Sir it's giving a manifest error and also we shared this on github but users said simply remove manifest line from HTML but I don't think so this is the solution. So what you say about this?
638,Vasley,"If I were a Bun developer I'd rather called it 'Done' (or Oden, or Enod) just for lulz ))
Then we would have Node, Deno and Done :D"
639,Sivaprasad EV,Thanks man 
640,secureITmania,Waiting for bun course
641,hardik ganatra,"When we say who uses lodash these days ,  I still find it useful , whats an alternative for it  , or did I miss a new boy in the town :) ? Or by that do you mean map , filter , reduce is enough for a full fledged project ?"
642,Richard Levi,"My qts is for them who has already enrolled for the Full stack JavaScript Developer program of ineuron.. 
How's the course? Is it worth purchasing?  How's the live lectures going? 
Basically tell me everything whatever going in the course, it would mean a lot to me."
643,Apoorv Verma,Was waiting for your views on bun...
644,Ben Ochang',Does bun work for react native lol?
645,dogen,Will replace node js?? What should we learn node or bun??
646,Indratej Reddy,Can JS on bun can beat java ?
647,Ankit Maan,First like and comment about bun... What will be the future of bun
648,Patel Ronak,️
649,Abhishek,What happened to JavaScript marathon
650,firos Iam,Hey have u forgoton about  the javascript marathon
651,Kartik Dhawan,Who uses lodash ??? what do people use these days ? ? 
652,sagar roy,Back to grey Tshirt
653,SAUMIL SHAH,"Go to Sandeep Maheshwari show,,,,,,, plz"
654,R Truth,"It will be better if you make videos in hindi, so more people can understand and your subscriber and views will also increase. Like @ApnaCollege"
655,Manivasagam Shanmugam,Just enrolled in the course very excited to learn from you sir 
656,Bishwajeet Das,"Hi Hitesh sir,
I have a couple of questions regarding this course?
1) Course duration?
2) Is it for fresher or experienced professionals?"
657,Mohammad Ayaan Siddiqui,"Hey Hitesh a little request, I was UNABLE to enroll in the javascript bootcamp this year, bcoz of lack of funds.. I hope u will bring it again next year AND IF U DO, kindly also include WEB3 in it.. After js, u can go into solidity and web3 very easily. This will open more doors for the students enrolled.. they can go into web or web3 depending on their choice.. I HOPE u do, and I will SURELY enroll next year."
658,Vibhavari Bellutagi,"Hi Hitesh

Thanks for this course, I was looking for the same content. What is the duration of the course?"
659,Nisarg Rai,"wish this course existed in 2020, no one was solving DSA in JavaScript back then. As a web developer and JavaScript lover, this course is it! If you wanna crack coding interviews."
660,saurabh suryavanshi,Can someone who is enrolled in the full stack bootcamp manage both courses simultaneously? I'd love to join in on this one too!
661,Md Samir,Most awaited course 
662,Bishal Nandi,Enjoying Javascript Bootcamp  Completed 3 Assignments and 2 Articles so far sir 
663,Manish Gupta,"Hi, 
The course doesn't seem to focus more on System Design. Just two modules."
664,Indratej Reddy,One of the beauty of python I'd you focus more on logic rather then syntax
665,Ujjawal Chatterjee,Is this course applicable to absolute beginners in Data Structure? I want to learn DSA using JS.
666,Red Crow Crow,Another new course 
667,CHE tan,Guys trust me who ever has not done data structures and algorithms do it it's one of the most important subject of cs
668,Shubham Goel,Do we get problems to practice like from leetcode or on in-house ineuron coding platform?
669,pandit on rocks,sir can we enroll in future for recorded lectures?
670,Dhiraj Mehta,Is this course for experienced engineers as well?
671,Rajat,"This 4k price is such a sweet spot ️
Couldn't enroll in full stack javascript bootcamp but will definitely enroll in this"
672,ujjwal jain,do you also provide placement support after this course ...
673,Anirudh,POWER pack course 
674,Code350,What will be the duration of this course?
675,pankaj thakur,"Please revert to old dashboard ui,
It's confusing  and messy for students to acces a particular section,
Why to fix if something is not broken"
676,Murgesh Patil,Is it also there in java?
677,Neel Jain,Will this be part of one neuron?
678,Ambuj Dubey,One question will it be available for tech neuron subscribers?
679,sai sankar,What is the option for priority queue?
680,Abhinav Srivastava,Sir is this job gaurantee program as you are providing in javascript bootcamp????
681,PeP,Is there any plan for DSA with Java
682,Sanket Hande,Will this course be available for one neuron subscribers?
683,Ajay Pathak,From when this course will start?
684,jitender singh,Another one 
685,bp,What is the prerequisites sir? Please answer 
686,Madhusudhan,be proud to be LCO user
687,Shubham Kamble,Exciteeeeeeeeeeeeeeeeeeed! Enrolled just now
688,Shankar Gowtham,"Hi Hitesh, can we able to join to this course now?"
689,durgarao y,is it self paced course ?
690,Coading 1,Sir it will start in April?
691,Ravan,Quality of video is DOPE
692,Rohan Choudhary,Enrolled hope we will be able to conquer DSA
693,Sandeep,When you will continue JS marathon 
694,Vinayakram,Will this course avaliable for Tech neuron subscribers
695,Hitesh Choudhary,"Check more details here:
https://hc.lco.dev/dsa
USE code HITESH10 for additional discount
Bundle in LCO for DSA will be given to all users but it takes 2-3 days."
696,YunAS,"HTML and CSS Layout - 
https://youtu.be/4l7jUOc-2QQ"
697,Kovendan Ragupathi,Thank you so much @Hitesh Choudhary.
698,Aman saxena,
699,Mohammed Amaan Hashmi,Can we have dsa course with java
700,Joy Sengupta,Awesome
701,Vinayakram,Excited 
702,Abhishek Khatana,Sir aap DSA dono language mein karoge
703,p jayalakshmi Jaya,Course duration ?
704,Mr Waqas,I don't have any degree only I've intermediate can I get job
705,optimus,Im college dropout is dsa good for me or webdevelopment(should i take this course)
706,Tyro Elohim,oh i think c++ is mainly useful for DSA. Don't you think?
707,sumanth sure,Why C++ is not used
708,Prakhar Sharma,Wohoo
709,Ratnadeep Saha,T_T why not java?
710,saurab bhattarai,JS MARATHONNNNNNNNNNNNNN
711,Harish venkatesan,First comment and view sir
712,Murugaraju Perumalla,まぅてました
713,rahul g,"I just clicked 3 times to watch video because of annoying Ads. Now closing the video because it's too much step to get information. 

I.e. disable ads for such promotional videos ️"
714,Krishna Pal singh,first comment 
715,optimus,Fang mang
716,Travelsoul uttrakhand,"Hitesh achieved NIRVANA level.
No more Hunger for money.
Just doing the stuff he loves 
Love You "
717,vikram urs,"I'm loving your approach towards continuing LCO legacy..
LCO is truly an emotion for me....it has added a lot of value into my life....
Thank you hitesh for all the great work you do..."
718,Abhay Anand,thanks for such efforts hitesh sir and a wonderful gift. To be honest I was really gonna buy pro subscription again next month bt your gift made me really soo much happy i can continue forward. Thanks a lot hitesh sir and I'll try my this final year in my college to get best job just because of your help!
719,Qwerty Ali,"Thanks for thinking about we ""new"" webD students sir. Much love  "
720,rithvik reddy,You are the person who really care about middle class people .. thanks a ton sir!
721,Frederic Guerra,"Hello, I love the idea to provide quality education to the most possible people.. It's a really nice and honor full idea.. Hope to see you in France maybe someday!
Happy to be part of this positi energy.."
722,Vaibhav Naik,"On the occasion of guru poornima I would like to congratulate the edtech teachers from whom I learnt programming. Hitesh ji you are also one among them.

So happy guru poornima to you as well."
723,shravan kaul,"Thank you for the generous gift for your javascript bootcamp joinees!!
Kudos to your spirit, Hitesh!"
724,Ravinder Singh,Thank you sir for what you doing for us 
725,MUTHU VALLI 3,"Getting some freshness and energy when you are talking about our ""LCO"" HITESH SIR..."
726,yash rajan shukla,Look at the quality look at the color grading look at the lighting.. wow! You are setting high class benchmarks.. truly appreciating.
727,Abhishek Das,LCO pro is the killer deal almost letting you learn anything  what a wonderful gift.
728,Daniel William,"Gosh yaar! This is so generous of you. I wish I had found you a year back before when I took a course elsewhere. Your videos on YouTube are super helpful and motivational.

Thank you for your work."
729,Tensor #,Amazing opportunities !!! I Liked your efforts of giving back to community.
730,chakravarthi tangella,"Thanks a lot Hitesh, for your support. We won't let you down.️"
731,Develop & Chill.,"Sir thanks for the LOC pro 
Enrolling in full stack javascript developer bootcamp is great decision, looking forward to learn more from you."
732,N Ashish,"sir Thankyou so much that you are providing courses at very low rates... i want to learn full stack....but i can see 2 courses on ur website which one is good......1.fullstack with django and react., 2.full stack django  freelance ready"
733,Sourabh Mahato,"Much love sir, LCO will always be emotion for me. "
734,Mujtaba M,LCO is an emotion!
735,Vipul Jain,Kudos to your efforts! Happy Guru purnima sir ! 
736,Saurabh Sikoria,Always helping the community.
737,Ponmurali Jeyaprakasam,Thanks Hitesh I am murali from maduraitamil nadu very thankful to you for LCO pro i am already a part LCO + Full Stack JS course of you i am follower of you once course is done i want to work with you in remote its my goal
738,Rishu srivastava,this is amazing sir you are great and thanks for lco pro subscription i am really excited  learn from you
739,Abhishek Yadav,That's a really great step️
740,Praxss,"4:35 Just one suggestion/question regarding that remote job for answering doubts,

Can that not happen on Reddit or something, so that more people can join and give answers to questions and of course it will be without charging money. 
But yes course content will become public without buying it"
741,Ayush Vanvary,LCO is Marvel Studios acquired by Disney(iNeuron) best two Merger of all time.
742,Gilbish Kosma,Thanks for extanding the LCO Pro subscription 
743,Murtaza Rangwala,This will help me alot. I will learn more with new learners.
744,Aniruddha Das,Great News sir! Thanks for the LCO pro !
745,Abhijeet Jadhav,Thank you so much Sir️
746,India Travel Vlogs,Keep it up! You are like God for indians
747,Saksham the computer guy,"A video with good vibes ️
#LCOOOOOOOOOOOOOO"
748,Viru Sutar,I started loving this guy more than my gf 
749,Hope,Please bring tests or competitions for development
750,Rushikesh ganesh,Amazing 
751,Abhishek C. Pathak,This man will definitely challenge Elon Musk in coming years.. ️
752,P S Patro,Kindly make the videos of devops and azure day to day activities and internships and hands on projects and roadmap. Make the video of remote work in india and outside india jobs.
753,Ratnadeep Saha,
754,Asif Khan,Hope for a free blockchain course in LCO
755,PRATEEK JHA,Great Oppertunity..
756,pankaj thakur,"Feedback for iNeuron:Please revert  to old Ui,
Your new ui is quite messy and confusing while accessing course content
Also remove the unnecessary videos added to a particular course by some other creator"
757,harsh bhaksaar,Hello sir big fan of yours...Please make a course on Devops. 
758,Nitin Gupta,Sir I an am experienced Android developer and want to learn from you how can I join you.?
759,Kalimuri Gangadhar,LCO long live 
760,Vignesh .V,"Hey Hitesh,
Why you are not taking anything about angular updates.
Please make a video on that.

Big fan of your work"
761,Quote Shades,Thanks aaaaa lottttttt... So many good news...️️️
762,DEEPAK DHYANI,Hitesh-Do you have Freelance/part time jobs?
763,URMIL❤️,Thank you sirG ️
764,Tejas,Thanks a lot sir.
765,Red Crow Crow,Damn i was going to buy lco pro this week since my exam just finished. Sir please please take registration atleast for 1 day i am willing to give 5k i can stretch this much only. Please please sir just one request if i knew i would have bought it early.
766,INDIAN ARMY,can you please cut down Django and python course prices...
767,Ritik Gupta,Thank you very much sir
768,Shyy Gamer,This was sad update for me i was about to buy pro this  week and this happened 
769,Nikhil Bhosale,Thank You So Much  sir
770,karyaken,Nice 1 hitesh but also give the once who joined job guarantee javascript life time Tech neuron subscription  
771,Madhusudhan,Great thanks for updates
772,Sahil Fruitwala,Back to good old plain tshirt 
773,Mangesh Thakre,Thankyou so much sir
774,jitender singh,Thank you soo mchh hitesh sir today i enroll in your js bootcamp just bcz of u sir but as you said i didnt get any email regarding lco subscription
775,The Indian View,thank you so much sir
776,Bittu Kumar,"Hi Hitesh How are you???
Your teaching style is good but some time you skip the important topics"
777,Nupura Brahme,Thanks a lot..
778,Shankar Dinesh,"Hi Hitesh, remote job apply is no longer access while trying to apply, is the hiring closed for the role?"
779,Shyamendra Hazra,Excited very much sir 
780,Praveen,"Please  create videos apache spark, scala and airflow  .Request  you to please  create"
781,Rishabh Dhawad,LCO ki jai ho 
782,Vaibhav Pandey,Wow 
783,Shashank Mishra,sleek and simple grey again!
784,voice,is LCO free for other courses of iNeuron?
785,Harshit Kumar,The monthly one you giving that to person who tops ...he already knows the stuff other people needs it
786,Haidar Shaik,@hitesh can I buy now JavaScript course .
787,girish sharma,Wow thanks. For pro excess
788,Rushikesh ganesh,Thanks alot
789,Anuj Kumar..,Sir your course available in hindi or not.
